Market Name ,Market Key,Market Type,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1022,1022,Zip Code,"44,778","46,597","46,104",0,"44,793","44,565","47,148","53,869","58,815","63,125","65,699",
1026,1026,Zip Code,"50,000","50,667","51,143",0,"51,378","50,833","58,777","50,884","53,434","58,333","53,472",
1027,1027,Zip Code,"50,977","51,410","52,985",0,"53,037","53,306","56,185","51,671","59,585","66,987","61,937",
1028,1028,Zip Code,"76,447","77,938","78,382",0,"77,024","76,682","76,032","73,331","82,378","82,918","84,496",
1030,1030,Zip Code,"64,654","65,447","65,939",0,"65,573","65,348","70,051","72,283","75,262","76,318","73,630",
1031,1031,Zip Code,"62,250","64,342","65,753",0,"65,000","64,430","60,971","67,120","64,027","59,302","60,918",
1032,1032,Zip Code,"55,833","57,500","64,286",0,"64,881","66,250","71,023","73,558","65,625","65,625","71,250",
1033,1033,Zip Code,"61,371","62,520","65,006",0,"64,852","64,787","68,706","65,250","74,229","76,620","83,160",
1034,1034,Zip Code,"66,828","68,453","68,824",0,"66,341","66,709","67,874","72,755","69,716","81,211","79,401",
1035,1035,Zip Code,"62,500","63,629","65,476",0,"62,767","62,659","63,893","66,508","78,599","78,539","75,774",
1036,1036,Zip Code,"77,255","77,995","79,097",0,"76,157","76,003","85,055","88,167","91,414","87,382","84,952",
1037,1037,Zip Code,0,0,0,0,0,0,0,0,0,0,"71,500",
1038,1038,Zip Code,"56,721","57,295","58,606",0,"58,473","58,185","51,736","46,886","49,219","63,147","57,027",
1039,1039,Zip Code,"55,985","58,615","58,864",0,"61,898","61,818","64,462","57,647","58,083","62,019","63,551",
1040,1040,Zip Code,"33,985","34,624","34,917",0,"34,226","33,947","31,909","35,351","36,060","34,275","39,597",
1050,1050,Zip Code,"57,154","58,093","60,921",0,"61,521","61,116","62,648","58,644","70,051","67,643","63,556",
1053,1053,Zip Code,"61,587","62,965","66,543",0,"63,797","63,525","67,391","70,960","66,667","66,000","62,250",
1054,1054,Zip Code,"73,125","78,420","79,048",0,"73,872","72,771","66,461","70,084","82,112","75,496","88,313",
1056,1056,Zip Code,"56,715","57,620","58,196",0,"57,207","57,181","60,299","63,844","67,229","68,156","65,045",
1057,1057,Zip Code,"63,894","64,735","65,663",0,"64,235","64,124","71,417","68,973","69,153","69,432","71,281",
1060,1060,Zip Code,"42,737","44,715","47,424",0,"46,226","45,913","48,615","46,181","53,990","55,539","53,179",
1062,1062,Zip Code,"56,630","58,136","57,075",0,"55,922","56,090","59,913","57,953","65,574","70,833","65,684",
1063,1063,Zip Code,0,0,0,0,"36,071","38,000","47,750","40,625","49,318","42,059","54,487",
1068,1068,Zip Code,"73,571","75,923","78,801",0,"74,390","73,645","75,690","76,398","88,644","87,990","80,645",
1069,1069,Zip Code,"49,492","50,813","50,976",0,"50,294","50,356","52,914","54,851","52,109","55,788","59,409",
1070,1070,Zip Code,"40,735","41,500","42,115",0,"43,092","43,523","56,713","56,136","56,731","68,314","55,833",
1071,1071,Zip Code,"56,867","57,360","58,267",0,"57,723","57,453","59,664","60,162","68,646","75,126","71,023",
1072,1072,Zip Code,"73,393","79,082","80,718",0,"74,078","73,353","68,139","65,901","72,168","71,552","77,250",
1073,1073,Zip Code,"72,235","73,830","76,886",0,"76,418","76,272","72,072","67,008","74,779","89,589","71,289",
1075,1075,Zip Code,"51,840","54,003","53,604",0,"56,400","56,246","61,718","60,859","61,631","65,299","63,134",
1077,1077,Zip Code,"63,541","65,029","65,276",0,"64,286","64,076","74,007","78,519","80,161","84,716","91,344",
1080,1080,Zip Code,"40,878","41,393","42,000",0,"42,470","42,161","50,794","45,894","48,967","53,846","55,612",
1081,1081,Zip Code,"59,236","59,639","61,516",0,"61,544","61,277","66,572","61,688","62,158","57,407","53,901",
1082,1082,Zip Code,"41,840","42,782","44,283",0,"45,731","45,280","50,760","49,813","55,392","55,353","53,550",
1083,1083,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
1084,1084,Zip Code,"59,000","57,857","57,500",0,"60,714","61,667","56,250","58,088","65,000","67,763","66,912",
1085,1085,Zip Code,"54,684","55,769","55,912",0,"54,412","54,117","54,522","59,139","62,683","65,745","65,474",
1088,1088,Zip Code,"55,417","56,522","58,529",0,"57,422","56,908","56,604","44,500","54,657","68,421","59,464",
1089,1089,Zip Code,"46,087","46,623","47,353",0,"47,063","47,152","50,834","55,548","55,143","54,875","53,960",
1092,1092,Zip Code,"36,462","38,398","39,141",0,"43,781","43,621","55,469","51,047","51,463","53,816","56,811",
1095,1095,Zip Code,"76,401","77,476","77,923",0,"79,118","78,921","85,999","83,357","89,161","90,100","88,744",
1096,1096,Zip Code,"52,437","53,798","56,538",0,"59,095","59,324","66,940","66,156","65,795","66,781","70,246",
1098,1098,Zip Code,"60,993","60,521","63,288",0,"61,449","61,548","59,483","54,282","63,763","73,639","75,765",
1103,1103,Zip Code,"19,199","20,271","19,429",0,"19,817","19,765","15,935","16,154","14,999","14,999","14,999",
1104,1104,Zip Code,"31,542","31,598","31,980",0,"31,906","31,942","31,884","32,930","32,713","32,287","32,008",
1105,1105,Zip Code,"17,892","18,049","18,177",0,"17,952","17,766","18,857","20,119","18,229","20,302","19,974",
1106,1106,Zip Code,"82,229","83,429","83,449",0,"83,747","83,663","87,168","97,093","96,075","104,914","112,019",
1107,1107,Zip Code,"19,799","20,434","20,525",0,"21,516","21,454","21,717","21,373","22,534","22,721","23,811",
1108,1108,Zip Code,"36,107","35,598","35,865",0,"35,278","34,983","36,844","37,600","36,978","33,250","35,821",
1109,1109,Zip Code,"30,927","31,826","31,675",0,"32,175","32,001","33,131","34,212","32,668","33,892","35,435",
1118,1118,Zip Code,"55,696","56,210","56,975",0,"56,292","56,128","56,964","59,635","62,755","66,947","66,233",
1119,1119,Zip Code,"42,978","43,660","43,562",0,"44,903","44,813","43,326","46,097","47,862","45,907","47,819",
1128,1128,Zip Code,"58,889","59,951","60,596",0,"60,093","59,739","64,038","76,755","76,009","73,329","69,351",
1129,1129,Zip Code,"52,118","52,714","52,862",0,"52,799","52,544","59,063","65,365","62,898","62,751","61,603",
1151,1151,Zip Code,"29,772","29,808","29,991",0,"29,848","29,885","33,202","36,272","33,265","31,287","36,878",
1201,1201,Zip Code,"41,778","43,714","42,872",0,"41,464","41,303","41,868","42,246","42,494","47,609","46,557",
1220,1220,Zip Code,"39,230","39,858","39,394",0,"37,277","37,285","37,087","37,147","41,245","45,669","44,397",
1222,1222,Zip Code,"64,024","65,966","64,891",0,"58,953","57,853","43,276","49,700","57,917","67,742","68,421",
1223,1223,Zip Code,"61,000","65,000","60,369",0,"54,634","53,935","46,357","43,837","49,302","61,842","67,169",
1224,1224,Zip Code,"59,444","60,000","57,000",0,"56,618","56,250","63,068","55,921","57,143","75,000","68,750",
1225,1225,Zip Code,"50,321","52,477","51,712",0,"50,206","49,969","55,377","52,946","47,391","57,176","57,823",
1226,1226,Zip Code,"59,019","61,055","60,778",0,"55,127","54,706","51,125","47,700","49,329","59,592","53,105",
1230,1230,Zip Code,"57,861","61,769","59,035",0,"54,519","53,913","50,909","48,596","56,954","60,267","59,671",
1235,1235,Zip Code,"52,767","55,583","54,144",0,"54,537","54,181","56,940","58,735","57,991","67,683","67,669",
1236,1236,Zip Code,"59,773","56,458","54,222",0,"52,614","52,453","52,885","54,570","63,953","65,843","68,819",
1237,1237,Zip Code,"54,265","57,434","56,571",0,"53,159","52,586","57,979","51,439","54,219","74,705","69,514",
1238,1238,Zip Code,"52,740","52,708","52,034",0,"48,040","47,526","48,727","49,084","54,183","66,638","65,217",
1240,1240,Zip Code,"54,040","56,392","54,863",0,"52,783","52,247","56,616","53,350","51,300","61,137","61,272",
1242,1242,Zip Code,0,0,0,0,0,0,0,0,0,0,0,
1243,1243,Zip Code,0,0,0,0,"61,742","61,328","59,722","54,167","64,474","73,684","72,500",
1245,1245,Zip Code,"66,196","68,804","66,818",0,"59,635","58,259","45,625","45,563","49,500","58,438","59,583",
1247,1247,Zip Code,"34,644","36,623","36,131",0,"34,249","34,170","35,617","35,959","39,125","45,346","41,364",
1253,1253,Zip Code,"70,543","75,125","72,188",0,"66,164","65,446","58,960","61,658","61,749","64,010","59,420",
1254,1254,Zip Code,"68,250","71,327","68,382",0,"69,667","68,167","77,308","79,615","79,664","81,944","79,375",
1255,1255,Zip Code,"61,280","64,333","63,140",0,"60,127","58,185","58,142","54,076","57,337","56,753","59,932",
1256,1256,Zip Code,"51,600","53,333","51,739",0,"50,481","49,375","51,786","50,227","50,820","57,908","54,435",
1257,1257,Zip Code,"53,398","54,894","53,350",0,"49,074","48,835","46,596","52,937","57,756","60,000","55,373",
1258,1258,Zip Code,"65,278","68,750","69,167",0,"57,870","60,648","50,000","47,614","50,987","61,184","61,563",
1259,1259,Zip Code,"66,094","70,313","67,500",0,"62,010","61,184","56,875","59,318","60,613","65,909","62,245",
1262,1262,Zip Code,"56,587","58,188","57,391",0,"52,679","51,897","49,912","43,409","46,786","62,092","60,989",
1264,1264,Zip Code,0,0,0,0,0,0,0,0,0,0,"78,125",
1266,1266,Zip Code,"63,913","66,888","65,161",0,"63,129","62,167","62,162","67,500","68,846","77,423","78,059",
1267,1267,Zip Code,"62,109","63,379","62,273",0,"58,612","57,851","57,039","57,320","64,727","73,913","70,751",
1270,1270,Zip Code,"57,955","60,000","60,208",0,"61,111","60,547","70,028","74,405","78,178","76,786","72,414",
1301,1301,Zip Code,"38,591","41,105","41,882",0,"41,547","41,441","43,341","45,129","51,477","51,084","51,455",
1330,1330,Zip Code,"65,843","68,548","68,654",0,"63,456","63,281","58,777","61,130","70,227","66,150","74,861",
1331,1331,Zip Code,"42,468","43,119","44,569",0,"45,253","45,110","47,186","54,733","50,838","51,326","55,021",
1337,1337,Zip Code,"55,079","59,091","59,435",0,"56,851","56,581","53,540","49,838","51,613","62,881","66,885",
1338,1338,Zip Code,"61,250","68,750","68,571",0,"61,538","64,286","56,250","64,583","78,571","76,786","87,500",
1339,1339,Zip Code,"55,813","57,463","57,868",0,"56,048","55,114","52,055","52,817","58,594","55,208","55,940",
1340,1340,Zip Code,"50,266","53,936","54,946",0,"52,669","52,874","54,293","49,392","57,012","50,083","51,091",
1341,1341,Zip Code,"71,083","75,615","76,202",0,"70,455","69,724","73,750","72,288","79,025","76,532","89,387",
1342,1342,Zip Code,"62,857","70,372","72,311",0,"68,403","67,308","61,771","63,627","75,136","79,953","81,184",
1343,1343,Zip Code,"52,000","55,000","55,000",0,"50,833","50,000","45,500","44,231","51,667","65,625","60,577",
1344,1344,Zip Code,"45,200","50,000","53,293",0,"50,195","49,577","48,810","53,827","54,429","58,432","65,480",
1346,1346,Zip Code,"64,091","59,500","60,000",0,"56,579","58,125","50,694","50,000","57,692","49,318","55,357",
1349,1349,Zip Code,"41,759","43,500","44,784",0,"40,089","39,926","46,801","47,162","55,000","56,250","60,000",
1350,1350,Zip Code,"31,250","53,750","50,000",0,"53,750","50,000","43,438","45,909","50,962","50,962","42,500",
1351,1351,Zip Code,"63,962","65,710","66,687",0,"60,613","59,864","48,550","46,766","57,899","64,670","68,619",
1354,1354,Zip Code,"56,771","61,434","63,321",0,"59,759","59,322","59,375","57,886","73,540","80,682","79,203",
1355,1355,Zip Code,"58,981","63,750","64,731",0,"60,514","59,906","62,007","65,000","64,971","75,385","86,364",
1360,1360,Zip Code,"60,564","63,520","65,566",0,"62,450","62,205","61,384","58,021","66,214","66,393","69,145",
1364,1364,Zip Code,"42,094","45,013","45,245",0,"42,282","42,031","42,196","45,977","46,921","44,429","40,093",
1366,1366,Zip Code,"56,064","57,347","58,721",0,"59,430","59,428","62,941","61,806","70,652","72,024","71,284",
1367,1367,Zip Code,"52,750","53,542","53,696",0,"52,632","51,411","44,146","47,065","52,500","52,542","48,235",
1368,1368,Zip Code,"54,846","57,465","58,615",0,"57,131","56,908","56,977","64,659","57,861","59,543","66,424",
1370,1370,Zip Code,"55,781","59,375","60,125",0,"54,311","54,266","55,967","57,009","60,813","54,740","60,138",
1373,1373,Zip Code,"59,574","64,551","64,913",0,"65,575","65,090","63,285","64,165","69,758","77,695","75,561",
1375,1375,Zip Code,"47,560","49,205","47,320",0,"45,900","45,954","53,413","52,670","62,992","49,742","59,321",
